Month,S&P500,Dividends,Earnings,CPI,10-year rate,Gold,President age,Temperature
05/1942,7.93,0.06,0.08,16.30,2.46%,35.50,724,0.08
06/1942,8.33,0.06,0.08,16.30,2.46%,35.50,725,0.04
07/1942,8.64,0.05,0.08,16.40,2.47%,35.50,726,0.00
08/1942,8.59,0.05,0.08,16.50,2.47%,35.50,727,-0.04
09/1942,8.68,0.05,0.08,16.50,2.47%,35.50,728,-0.05
10/1942,9.32,0.05,0.08,16.70,2.47%,35.50,729,-0.01
11/1942,9.47,0.05,0.08,16.80,2.47%,35.50,730,0.08
12/1942,9.52,0.05,0.09,16.90,2.47%,35.50,731,0.07
01/1943,10.09,0.05,0.09,16.90,2.47%,36.50,732,-0.04
02/1943,10.69,0.05,0.09,16.90,2.47%,36.50,733,0.13
03/1943,11.07,0.05,0.09,17.20,2.47%,36.50,734,-0.08
04/1943,11.44,0.05,0.09,17.40,2.47%,36.50,735,0.07
05/1943,11.89,0.05,0.09,17.50,2.47%,36.50,736,0.04
06/1943,12.10,0.05,0.09,17.50,2.47%,36.50,737,-0.06
07/1943,12.35,0.05,0.09,17.40,2.48%,36.50,738,0.08
08/1943,11.74,0.05,0.09,17.30,2.48%,36.50,739,0.00
09/1943,11.99,0.05,0.09,17.40,2.48%,36.50,740,0.06
10/1943,11.88,0.05,0.09,17.40,2.48%,36.50,741,0.22
11/1943,11.33,0.05,0.08,17.40,2.48%,36.50,742,0.19
12/1943,11.48,0.05,0.08,17.40,2.48%,36.50,743,0.24
01/1944,11.85,0.05,0.08,17.40,2.48%,36.25,744,0.35
02/1944,11.77,0.05,0.08,17.40,2.47%,36.25,745,0.26
03/1944,12.10,0.05,0.08,17.40,2.46%,36.25,746,0.27
04/1944,11.89,0.05,0.08,17.50,2.45%,36.25,747,0.19
05/1944,12.10,0.05,0.08,17.50,2.44%,36.25,748,0.19
06/1944,12.67,0.05,0.08,17.60,2.43%,36.25,749,0.20
07/1944,13.00,0.05,0.08,17.70,2.43%,36.25,750,0.18
08/1944,12.81,0.05,0.08,17.70,2.42%,36.25,751,0.17
09/1944,12.60,0.05,0.08,17.70,2.41%,36.25,752,0.30
10/1944,12.91,0.05,0.08,17.70,2.40%,36.25,753,0.26
11/1944,12.82,0.05,0.08,17.70,2.39%,36.25,754,0.10
12/1944,13.10,0.05,0.08,17.80,2.38%,36.25,755,0.02
01/1945,13.49,0.05,0.08,17.80,2.37%,37.25,756,0.09
02/1945,13.94,0.05,0.08,17.80,2.36%,37.25,757,-0.02
03/1945,13.93,0.05,0.08,17.80,2.34%,37.25,758,0.06
04/1945,14.28,0.05,0.08,17.80,2.33%,37.25,731,0.18
05/1945,14.82,0.05,0.08,17.90,2.31%,37.25,732,0.04
06/1945,15.09,0.05,0.08,18.10,2.30%,37.25,733,0.00
07/1945,14.78,0.05,0.08,18.10,2.28%,37.25,734,0.03
08/1945,14.83,0.05,0.08,18.10,2.27%,37.25,735,0.27
09/1945,15.84,0.06,0.08,18.10,2.25%,37.25,736,0.22
10/1945,16.50,0.06,0.08,18.10,2.24%,37.25,737,0.18
11/1945,17.04,0.06,0.08,18.10,2.22%,37.25,738,0.07
12/1945,17.33,0.06,0.08,18.20,2.21%,37.25,739,-0.09
01/1946,18.02,0.06,0.08,18.20,2.19%,38.25,740,0.15
02/1946,18.07,0.06,0.08,18.10,2.20%,38.25,741,0.07
03/1946,17.53,0.06,0.08,18.30,2.20%,38.25,742,0.00
04/1946,18.66,0.06,0.07,18.40,2.21%,38.25,743,0.06
05/1946,18.70,0.06,0.07,18.50,2.21%,38.25,744,-0.08
06/1946,18.58,0.06,0.07,18.70,2.22%,38.25,745,-0.21
07/1946,18.05,0.06,0.07,19.80,2.22%,38.25,746,-0.14
08/1946,17.70,0.06,0.07,20.20,2.23%,38.25,747,-0.17
09/1946,15.09,0.06,0.07,20.40,2.23%,38.25,748,-0.07
10/1946,14.75,0.06,0.08,20.80,2.24%,38.25,749,-0.06
11/1946,14.69,0.06,0.08,21.30,2.24%,38.25,750,-0.06
12/1946,15.13,0.06,0.09,21.50,2.25%,38.25,751,-0.35
01/1947,15.21,0.06,0.09,21.50,2.25%,43.00,752,-0.12
02/1947,15.80,0.06,0.10,21.50,2.27%,43.00,753,-0.08
03/1947,15.16,0.06,0.11,21.90,2.28%,43.00,754,0.07
04/1947,14.60,0.06,0.11,21.90,2.30%,43.00,755,0.07
05/1947,14.34,0.06,0.12,21.90,2.31%,43.00,756,-0.03
06/1947,14.84,0.06,0.12,22.00,2.33%,43.00,757,0.02
07/1947,15.77,0.06,0.12,22.20,2.35%,43.00,758,-0.07
08/1947,15.46,0.07,0.13,22.50,2.36%,43.00,759,-0.09
09/1947,15.06,0.07,0.13,23.00,2.38%,43.00,760,-0.13
10/1947,15.45,0.07,0.13,23.00,2.39%,43.00,761,0.06
11/1947,15.27,0.07,0.13,23.10,2.41%,43.00,762,0.02
12/1947,15.03,0.07,0.13,23.40,2.42%,43.00,763,-0.16
01/1948,14.83,0.07,0.14,23.70,2.44%,42.00,764,0.07
02/1948,14.10,0.07,0.14,23.50,2.43%,42.00,765,-0.16
03/1948,14.30,0.07,0.14,23.40,2.42%,42.00,766,-0.25
04/1948,15.40,0.07,0.15,23.80,2.41%,42.00,767,-0.11
05/1948,16.15,0.07,0.15,23.90,2.40%,42.00,768,0.01
06/1948,16.82,0.07,0.16,24.10,2.39%,42.00,769,-0.04
07/1948,16.42,0.07,0.16,24.40,2.38%,42.00,770,-0.11
08/1948,15.94,0.07,0.17,24.50,2.36%,42.00,771,-0.12
09/1948,15.76,0.07,0.17,24.50,2.35%,42.00,772,-0.11
10/1948,16.19,0.07,0.18,24.40,2.34%,42.00,773,-0.07
11/1948,15.29,0.08,0.18,24.20,2.33%,42.00,774,-0.12
12/1948,15.19,0.08,0.19,24.10,2.32%,42.00,775,-0.23
01/1949,15.36,0.08,0.19,24.00,2.31%,40.50,776,0.09
02/1949,14.77,0.08,0.20,23.80,2.31%,40.50,777,-0.17
03/1949,14.91,0.08,0.20,23.80,2.31%,40.50,778,-0.02
04/1949,14.89,0.08,0.20,23.90,2.31%,40.50,779,-0.10
05/1949,14.78,0.08,0.20,23.80,2.31%,40.50,780,-0.08
06/1949,13.97,0.09,0.20,23.90,2.31%,40.50,781,-0.23
07/1949,14.76,0.09,0.20,23.70,2.32%,40.50,782,-0.14
08/1949,15.29,0.09,0.20,23.80,2.32%,40.50,783,-0.12
09/1949,15.49,0.09,0.20,23.90,2.32%,40.50,784,-0.14
10/1949,15.89,0.09,0.20,23.70,2.32%,40.50,785,-0.06
11/1949,16.11,0.09,0.20,23.80,2.32%,40.50,786,-0.10
12/1949,16.54,0.10,0.19,23.60,2.32%,40.50,787,-0.22
01/1950,16.88,0.10,0.19,23.50,2.32%,40.25,788,-0.33
02/1950,17.21,0.10,0.20,23.50,2.34%,40.25,789,-0.28
03/1950,17.35,0.10,0.20,23.60,2.36%,40.25,790,-0.07
04/1950,17.84,0.10,0.20,23.60,2.38%,40.25,791,-0.20
05/1950,18.44,0.10,0.21,23.70,2.40%,40.25,792,-0.10
06/1950,18.74,0.10,0.21,23.80,2.42%,40.25,793,-0.03
07/1950,17.38,0.10,0.22,24.10,2.45%,40.25,794,-0.10
08/1950,18.43,0.11,0.22,24.30,2.47%,40.25,795,-0.16
09/1950,19.08,0.11,0.23,24.40,2.49%,40.25,796,-0.12
10/1950,19.87,0.11,0.23,24.60,2.51%,40.25,797,-0.22
11/1950,19.83,0.12,0.23,24.70,2.53%,40.25,798,-0.38
12/1950,19.75,0.12,0.24,25.00,2.55%,40.25,799,-0.20
01/1951,21.21,0.12,0.24,25.40,2.57%,40.00,800,-0.35
02/1951,22.00,0.13,0.24,25.70,2.58%,40.00,801,-0.43
03/1951,21.63,0.13,0.24,25.80,2.59%,40.00,802,-0.21
04/1951,21.92,0.13,0.23,25.80,2.60%,40.00,803,-0.13
05/1951,21.93,0.13,0.23,25.90,2.61%,40.00,804,0.00
06/1951,21.55,0.13,0.23,25.90,2.62%,40.00,805,-0.02
07/1951,21.93,0.13,0.22,25.90,2.63%,40.00,806,0.03
08/1951,22.89,0.13,0.22,25.90,2.63%,40.00,807,0.06
09/1951,23.48,0.13,0.21,26.10,2.64%,40.00,808,0.08
10/1951,23.36,0.12,0.21,26.20,2.65%,40.00,809,0.05
11/1951,22.71,0.12,0.21,26.40,2.66%,40.00,810,-0.02
12/1951,23.41,0.12,0.20,26.50,2.67%,40.00,811,0.14
01/1952,24.19,0.12,0.20,26.50,2.68%,38.70,812,0.12
02/1952,23.75,0.12,0.20,26.30,2.69%,38.70,813,0.11
03/1952,23.81,0.12,0.20,26.30,2.71%,38.70,814,-0.10
04/1952,23.74,0.12,0.20,26.40,2.72%,38.70,815,0.02
05/1952,23.73,0.12,0.20,26.40,2.73%,38.70,816,-0.02
06/1952,24.38,0.12,0.20,26.50,2.74%,38.70,817,-0.04
07/1952,25.08,0.12,0.20,26.70,2.76%,38.70,818,0.04
08/1952,25.18,0.12,0.20,26.70,2.77%,38.70,819,0.04
09/1952,24.78,0.12,0.20,26.70,2.78%,38.70,820,0.07
10/1952,24.26,0.12,0.20,26.70,2.79%,38.70,821,-0.01
11/1952,25.03,0.12,0.20,26.70,2.81%,38.70,822,-0.14
12/1952,26.04,0.12,0.20,26.70,2.82%,38.70,823,-0.01
01/1953,26.18,0.12,0.20,26.60,2.83%,35.50,747,0.08
02/1953,25.86,0.12,0.20,26.50,2.80%,35.50,748,0.14
03/1953,25.99,0.12,0.20,26.60,2.77%,35.50,749,0.11
04/1953,24.71,0.12,0.20,26.60,2.83%,35.50,750,0.18
05/1953,24.84,0.12,0.21,26.70,3.05%,35.50,751,0.09
06/1953,23.95,0.12,0.21,26.80,3.11%,35.50,752,0.10
07/1953,24.29,0.12,0.21,26.80,2.93%,35.50,753,0.00
08/1953,24.39,0.12,0.21,26.90,2.95%,35.50,754,0.06
09/1953,23.27,0.12,0.21,26.90,2.87%,35.50,755,0.04
10/1953,23.97,0.12,0.21,27.00,2.66%,35.50,756,0.06
11/1953,24.50,0.12,0.21,26.90,2.68%,35.50,757,-0.06
12/1953,24.83,0.12,0.21,26.90,2.59%,35.50,758,0.02
01/1954,25.46,0.12,0.21,26.90,2.48%,35.25,759,-0.28
02/1954,26.02,0.12,0.21,26.90,2.47%,35.25,760,-0.13
03/1954,26.57,0.12,0.21,26.90,2.37%,35.25,761,-0.15
04/1954,27.63,0.12,0.21,26.80,2.29%,35.25,762,-0.16
05/1954,28.73,0.12,0.22,26.90,2.37%,35.25,763,-0.22
06/1954,28.96,0.12,0.22,26.90,2.38%,35.25,764,-0.18
07/1954,30.13,0.12,0.22,26.90,2.30%,35.25,765,-0.19
08/1954,30.73,0.12,0.22,26.90,2.36%,35.25,766,-0.17
09/1954,31.45,0.12,0.22,26.80,2.38%,35.25,767,-0.10
10/1954,32.18,0.12,0.22,26.80,2.43%,35.25,768,-0.04
11/1954,33.44,0.13,0.23,26.80,2.48%,35.25,769,0.06
12/1954,34.97,0.13,0.23,26.70,2.51%,35.25,770,-0.21
01/1955,35.60,0.13,0.24,26.70,2.61%,35.15,771,0.13
02/1955,36.79,0.13,0.24,26.70,2.65%,35.15,772,-0.18
03/1955,36.50,0.13,0.25,26.70,2.68%,35.15,773,-0.34
04/1955,37.76,0.13,0.25,26.70,2.75%,35.15,774,-0.22
05/1955,37.60,0.13,0.26,26.70,2.76%,35.15,775,-0.21
06/1955,39.78,0.13,0.27,26.70,2.78%,35.15,776,-0.12
07/1955,42.69,0.13,0.27,26.80,2.90%,35.15,777,-0.13
08/1955,42.43,0.13,0.28,26.80,2.97%,35.15,778,0.01
09/1955,44.34,0.14,0.29,26.90,2.97%,35.15,779,-0.11
10/1955,42.11,0.14,0.29,26.90,2.88%,35.15,780,-0.05
11/1955,44.95,0.14,0.30,26.90,2.89%,35.15,781,-0.24
12/1955,45.37,0.14,0.30,26.80,2.96%,35.15,782,-0.30
01/1956,44.15,0.14,0.30,26.80,2.90%,35.20,783,-0.16
02/1956,44.43,0.14,0.31,26.80,2.84%,35.20,784,-0.26
03/1956,47.49,0.14,0.31,26.80,2.96%,35.20,785,-0.23
04/1956,48.05,0.15,0.31,26.90,3.18%,35.20,786,-0.27
05/1956,46.54,0.15,0.30,27.00,3.07%,35.20,787,-0.31
06/1956,46.27,0.15,0.30,27.20,3.00%,35.20,788,-0.16
07/1956,48.78,0.15,0.30,27.40,3.11%,35.20,789,-0.12
08/1956,48.49,0.15,0.29,27.30,3.33%,35.20,790,-0.26
09/1956,46.84,0.15,0.29,27.40,3.38%,35.20,791,-0.20
10/1956,46.24,0.15,0.29,27.50,3.34%,35.20,792,-0.24
11/1956,45.76,0.15,0.29,27.50,3.49%,35.20,793,-0.17
12/1956,46.44,0.15,0.28,27.60,3.59%,35.20,794,-0.08
01/1957,45.43,0.14,0.28,27.60,3.46%,35.25,795,-0.11
02/1957,43.47,0.14,0.28,27.70,3.34%,35.25,796,-0.04
03/1957,44.03,0.14,0.28,27.80,3.41%,35.25,797,-0.06
04/1957,45.05,0.14,0.28,27.90,3.48%,35.25,798,-0.01
05/1957,46.78,0.14,0.28,28.00,3.60%,35.25,799,0.09
06/1957,47.55,0.14,0.29,28.10,3.80%,35.25,800,0.16
07/1957,48.51,0.15,0.29,28.30,3.93%,35.25,801,0.01
08/1957,45.84,0.15,0.29,28.30,3.93%,35.25,802,0.15
09/1957,43.98,0.15,0.29,28.30,3.92%,35.25,803,0.09
10/1957,41.24,0.15,0.29,28.30,3.97%,35.25,804,0.01
11/1957,40.35,0.15,0.28,28.40,3.72%,35.25,805,0.06
12/1957,40.33,0.15,0.28,28.40,3.21%,35.25,806,0.16
01/1958,41.12,0.15,0.27,28.60,3.09%,35.25,807,0.39
02/1958,41.26,0.15,0.27,28.60,3.05%,35.25,808,0.24
03/1958,42.11,0.15,0.26,28.80,2.98%,35.25,809,0.11
04/1958,42.34,0.15,0.26,28.90,2.88%,35.25,810,0.03
05/1958,43.70,0.15,0.25,28.90,2.92%,35.25,811,0.06
06/1958,44.75,0.14,0.24,28.90,2.97%,35.25,812,-0.08
07/1958,45.98,0.14,0.24,29.00,3.20%,35.25,813,0.05
08/1958,47.70,0.14,0.24,28.90,3.54%,35.25,814,-0.04
09/1958,48.96,0.14,0.24,28.90,3.76%,35.25,815,-0.02
10/1958,50.95,0.14,0.24,28.90,3.80%,35.25,816,0.04
11/1958,52.50,0.15,0.24,29.00,3.74%,35.25,817,0.02
12/1958,53.49,0.15,0.24,28.90,3.86%,35.25,818,0.00
01/1959,55.62,0.15,0.25,29.00,4.02%,35.25,819,0.08
02/1959,54.77,0.15,0.25,28.90,3.96%,35.25,820,0.08
03/1959,56.16,0.15,0.26,28.90,3.99%,35.25,821,0.18
04/1959,57.10,0.15,0.27,29.00,4.12%,35.25,822,0.13
05/1959,57.96,0.15,0.28,29.00,4.31%,35.25,823,0.04
06/1959,57.46,0.15,0.28,29.10,4.34%,35.25,824,0.02
07/1959,59.74,0.15,0.28,29.20,4.40%,35.25,825,0.06
08/1959,59.40,0.15,0.29,29.20,4.43%,35.25,826,-0.02
09/1959,57.05,0.15,0.29,29.30,4.68%,35.25,827,-0.06
10/1959,57.00,0.15,0.28,29.40,4.53%,35.25,828,-0.09
11/1959,57.23,0.15,0.28,29.40,4.53%,35.25,829,-0.09
12/1959,59.06,0.15,0.28,29.40,4.69%,35.25,830,-0.02
01/1960,58.03,0.16,0.28,29.30,4.72%,36.50,831,-0.01
02/1960,55.78,0.16,0.28,29.40,4.49%,36.50,832,0.16
03/1960,55.02,0.16,0.28,29.40,4.25%,36.50,833,-0.34
04/1960,55.73,0.16,0.28,29.50,4.28%,36.50,834,-0.14
05/1960,55.22,0.16,0.28,29.50,4.35%,36.50,835,-0.07
06/1960,57.26,0.16,0.27,29.60,4.15%,36.50,836,-0.04
07/1960,55.84,0.16,0.27,29.60,3.90%,36.50,837,-0.03
08/1960,56.51,0.16,0.27,29.60,3.80%,36.50,838,0.01
09/1960,54.81,0.16,0.27,29.60,3.80%,36.50,839,0.07
10/1960,53.73,0.16,0.27,29.80,3.89%,36.50,840,0.07
11/1960,55.47,0.16,0.27,29.80,3.93%,36.50,841,-0.12
12/1960,56.80,0.16,0.27,29.80,3.84%,36.50,842,0.18
01/1961,59.72,0.16,0.27,29.80,3.84%,35.50,524,0.07
02/1961,62.17,0.16,0.26,29.80,3.78%,35.50,525,0.19
03/1961,64.12,0.16,0.26,29.80,3.74%,35.50,526,0.09
04/1961,65.83,0.16,0.26,29.80,3.78%,35.50,527,0.12
05/1961,66.50,0.16,0.25,29.80,3.71%,35.50,528,0.11
06/1961,65.62,0.16,0.25,29.80,3.88%,35.50,529,0.11
07/1961,65.44,0.16,0.25,30.00,3.92%,35.50,530,0.00
08/1961,67.79,0.16,0.25,29.90,4.04%,35.50,531,0.03
09/1961,67.26,0.16,0.25,30.00,3.98%,35.50,532,0.07
10/1961,68.00,0.17,0.26,30.00,3.92%,35.50,533,0.00
11/1961,71.08,0.17,0.26,30.00,3.94%,35.50,534,0.03
12/1961,71.74,0.17,0.27,30.00,4.06%,35.50,535,-0.15
01/1962,69.07,0.17,0.27,30.00,4.08%,35.35,536,0.07
02/1962,70.22,0.17,0.28,30.10,4.04%,35.35,537,0.14
03/1962,70.29,0.17,0.28,30.10,3.93%,35.35,538,0.12
04/1962,68.05,0.17,0.28,30.20,3.84%,35.35,539,0.04
05/1962,62.99,0.17,0.29,30.20,3.87%,35.35,540,-0.04
06/1962,55.63,0.17,0.29,30.20,3.91%,35.35,541,0.05
07/1962,56.97,0.17,0.29,30.30,4.01%,35.35,542,0.02
08/1962,58.52,0.17,0.29,30.30,3.98%,35.35,543,-0.01
09/1962,58.00,0.17,0.29,30.40,3.98%,35.35,544,0.01
10/1962,56.17,0.17,0.30,30.40,3.93%,35.35,545,0.00
11/1962,60.04,0.18,0.30,30.40,3.92%,35.35,546,0.07
12/1962,62.64,0.18,0.31,30.40,3.86%,35.35,547,-0.01
01/1963,65.06,0.18,0.31,30.40,3.83%,35.25,548,-0.02
02/1963,65.92,0.18,0.31,30.40,3.92%,35.25,549,0.20
03/1963,65.67,0.18,0.31,30.50,3.93%,35.25,550,-0.14
04/1963,68.76,0.18,0.31,30.50,3.97%,35.25,551,-0.06
05/1963,70.14,0.18,0.32,30.50,3.93%,35.25,552,-0.04
06/1963,70.11,0.18,0.32,30.60,3.99%,35.25,553,0.05
07/1963,69.07,0.18,0.32,30.70,4.02%,35.25,554,0.09
08/1963,70.98,0.18,0.33,30.70,4.00%,35.25,555,0.27
09/1963,72.85,0.18,0.33,30.70,4.08%,35.25,556,0.20
10/1963,73.03,0.19,0.33,30.80,4.11%,35.25,557,0.15
11/1963,72.62,0.19,0.33,30.80,4.12%,35.25,663,0.15
12/1963,74.17,0.19,0.34,30.90,4.13%,35.25,664,-0.01
01/1964,76.45,0.19,0.34,30.90,4.17%,35.35,665,-0.08
02/1964,77.39,0.19,0.34,30.90,4.15%,35.35,666,-0.12
03/1964,78.80,0.19,0.35,30.90,4.22%,35.35,667,-0.23
04/1964,79.94,0.20,0.35,30.90,4.23%,35.35,668,-0.31
05/1964,80.72,0.20,0.36,30.90,4.20%,35.35,669,-0.24
06/1964,80.24,0.20,0.36,31.00,4.17%,35.35,670,-0.02
07/1964,83.22,0.20,0.36,31.10,4.19%,35.35,671,-0.03
08/1964,82.00,0.20,0.37,31.00,4.19%,35.35,672,-0.21
09/1964,83.41,0.20,0.37,31.10,4.20%,35.35,673,-0.29
10/1964,84.85,0.21,0.37,31.10,4.19%,35.35,674,-0.31
11/1964,85.44,0.21,0.38,31.20,4.15%,35.35,675,-0.21
12/1964,83.96,0.21,0.38,31.20,4.18%,35.35,676,-0.30
01/1965,86.12,0.21,0.38,31.20,4.19%,35.50,677,-0.08
02/1965,86.75,0.21,0.39,31.20,4.21%,35.50,678,-0.17
03/1965,86.83,0.21,0.39,31.30,4.21%,35.50,679,-0.11
04/1965,87.97,0.21,0.39,31.40,4.20%,35.50,680,-0.19
05/1965,89.28,0.22,0.40,31.40,4.21%,35.50,681,-0.14
06/1965,85.04,0.22,0.40,31.60,4.21%,35.50,682,-0.09
07/1965,84.91,0.22,0.41,31.60,4.20%,35.50,683,-0.12
08/1965,86.49,0.22,0.41,31.60,4.25%,35.50,684,-0.03
09/1965,89.38,0.22,0.42,31.60,4.29%,35.50,685,-0.16
10/1965,91.39,0.22,0.42,31.70,4.35%,35.50,686,-0.05
11/1965,92.15,0.23,0.43,31.70,4.45%,35.50,687,-0.06
12/1965,91.73,0.23,0.43,31.80,4.62%,35.50,688,-0.06
01/1966,93.32,0.23,0.44,31.80,4.61%,35.40,689,-0.17
02/1966,92.69,0.23,0.44,32.00,4.83%,35.40,690,0.00
03/1966,88.88,0.23,0.45,32.10,4.87%,35.40,691,0.05
04/1966,91.60,0.23,0.45,32.30,4.75%,35.40,692,-0.12
05/1966,86.78,0.23,0.45,32.30,4.78%,35.40,693,-0.11
06/1966,86.06,0.24,0.46,32.40,4.81%,35.40,694,0.01
07/1966,85.84,0.24,0.46,32.50,5.02%,35.40,695,0.09
08/1966,80.65,0.24,0.46,32.70,5.22%,35.40,696,-0.08
09/1966,77.81,0.24,0.46,32.70,5.18%,35.40,697,-0.02
10/1966,77.13,0.24,0.46,32.90,5.01%,35.40,698,-0.15
11/1966,80.99,0.24,0.46,32.90,5.16%,35.40,699,-0.02
12/1966,81.33,0.24,0.46,32.90,4.84%,35.40,700,-0.05
01/1967,84.45,0.24,0.46,32.90,4.58%,35.50,701,-0.05
02/1967,87.36,0.24,0.46,32.90,4.63%,35.50,702,-0.21
03/1967,89.42,0.24,0.45,33.00,4.54%,35.50,703,0.04
04/1967,90.96,0.24,0.45,33.10,4.59%,35.50,704,-0.05
05/1967,92.59,0.24,0.45,33.20,4.85%,35.50,705,0.15
06/1967,91.43,0.24,0.44,33.30,5.02%,35.50,706,-0.08
07/1967,93.01,0.24,0.44,33.40,5.16%,35.50,707,0.01
08/1967,94.49,0.24,0.44,33.50,5.28%,35.50,708,0.01
09/1967,95.81,0.24,0.44,33.60,5.30%,35.50,709,-0.06
10/1967,95.66,0.24,0.44,33.70,5.48%,35.50,710,0.08
11/1967,92.66,0.24,0.44,33.80,5.75%,35.50,711,-0.06
12/1967,95.30,0.24,0.44,33.90,5.70%,35.50,712,-0.03
01/1968,95.04,0.24,0.45,34.10,5.53%,43.50,713,-0.25
02/1968,90.75,0.25,0.45,34.20,5.56%,43.50,714,-0.15
03/1968,89.09,0.25,0.45,34.30,5.74%,37.70,715,0.21
04/1968,95.67,0.25,0.46,34.40,5.64%,39.10,716,-0.05
05/1968,97.87,0.25,0.46,34.50,5.87%,41.95,717,-0.13
06/1968,100.50,0.25,0.46,34.70,5.72%,40.90,718,-0.07
07/1968,100.30,0.25,0.47,34.90,5.50%,38.85,719,-0.12
08/1968,98.11,0.25,0.47,35.00,5.42%,39.80,720,-0.09
09/1968,101.30,0.25,0.47,35.10,5.46%,39.60,721,-0.18
10/1968,103.80,0.25,0.47,35.30,5.58%,39.00,722,0.11
11/1968,105.40,0.25,0.48,35.40,5.70%,39.85,723,-0.03
12/1968,106.50,0.26,0.48,35.50,6.03%,41.90,724,-0.13
01/1969,102.00,0.26,0.48,35.60,6.04%,42.54,672,-0.11
02/1969,101.50,0.26,0.48,35.80,6.19%,42.70,673,-0.14
03/1969,99.30,0.26,0.49,36.10,6.30%,42.90,674,0.01
04/1969,101.30,0.26,0.49,36.30,6.17%,43.60,675,0.18
05/1969,104.60,0.26,0.49,36.40,6.32%,43.08,676,0.19
06/1969,99.14,0.26,0.49,36.60,6.57%,41.20,677,0.05
07/1969,94.71,0.26,0.49,36.80,6.72%,41.39,678,-0.02
08/1969,94.18,0.26,0.49,37.00,6.69%,40.86,679,0.03
09/1969,94.51,0.26,0.49,37.10,7.16%,40.68,680,0.09
10/1969,95.52,0.26,0.49,37.30,7.10%,39.75,681,0.13
11/1969,96.21,0.26,0.48,37.50,7.14%,35.60,682,0.13
12/1969,91.11,0.26,0.48,37.70,7.65%,35.20,683,0.28
01/1970,90.31,0.26,0.48,37.80,7.79%,34.99,684,0.09
02/1970,87.16,0.26,0.47,38.00,7.24%,35.02,685,0.22
03/1970,88.65,0.26,0.47,38.20,7.07%,35.30,686,0.08
04/1970,85.95,0.26,0.47,38.50,7.39%,35.85,687,0.09
05/1970,76.06,0.26,0.46,38.60,7.91%,35.45,688,-0.04
06/1970,75.59,0.27,0.46,38.80,7.84%,35.49,689,-0.02
07/1970,75.72,0.27,0.46,39.00,7.46%,35.30,690,-0.02
08/1970,77.92,0.27,0.45,39.00,7.53%,35.80,691,-0.09
09/1970,82.58,0.27,0.45,39.20,7.39%,36.40,692,0.11
10/1970,84.37,0.26,0.44,39.40,7.33%,37.25,693,0.06
11/1970,84.28,0.26,0.43,39.60,6.84%,37.54,694,0.02
12/1970,90.05,0.26,0.43,39.80,6.39%,37.38,695,-0.12
01/1971,93.49,0.26,0.43,39.80,6.24%,38.05,696,-0.02
02/1971,97.11,0.26,0.43,39.90,6.11%,38.80,697,-0.19
03/1971,99.60,0.26,0.44,40.00,5.70%,38.88,698,-0.17
04/1971,103.00,0.26,0.44,40.10,5.83%,39.70,699,-0.08
05/1971,101.60,0.26,0.44,40.30,6.39%,40.84,700,-0.05
06/1971,99.72,0.26,0.44,40.60,6.52%,40.10,701,-0.19
07/1971,99.00,0.26,0.45,40.70,6.73%,42.40,702,-0.11
08/1971,97.24,0.26,0.45,40.80,6.58%,40.65,703,-0.03
09/1971,99.40,0.26,0.45,40.80,6.14%,42.60,704,-0.04
10/1971,97.29,0.26,0.46,40.90,5.93%,42.34,705,-0.06
11/1971,92.78,0.26,0.47,40.90,5.81%,43.60,706,-0.05
12/1971,99.17,0.26,0.48,41.10,5.93%,43.55,707,-0.09
01/1972,103.30,0.26,0.48,41.10,5.95%,47.15,708,-0.24
02/1972,105.20,0.26,0.48,41.30,6.08%,48.20,709,-0.16
03/1972,107.70,0.26,0.48,41.40,6.07%,48.38,710,0.03
04/1972,108.80,0.26,0.49,41.50,6.19%,49.60,711,0.01
05/1972,107.70,0.26,0.49,41.60,6.13%,59.45,712,-0.03
06/1972,108.00,0.26,0.50,41.70,6.11%,64.65,713,0.06
07/1972,107.20,0.26,0.50,41.90,6.11%,68.30,714,0.01
08/1972,111.00,0.26,0.51,42.00,6.21%,66.88,715,0.17
09/1972,109.40,0.26,0.51,42.10,6.55%,64.20,716,0.02
10/1972,109.60,0.26,0.52,42.30,6.48%,64.39,717,0.09
11/1972,115.10,0.26,0.53,42.40,6.28%,63.60,718,0.04
12/1972,117.50,0.26,0.54,42.50,6.36%,64.90,719,0.20
01/1973,118.40,0.26,0.55,42.60,6.46%,66.00,720,0.29
02/1973,114.20,0.26,0.56,42.90,6.64%,85.00,721,0.31
03/1973,112.40,0.26,0.57,43.30,6.71%,90.00,722,0.27
04/1973,110.30,0.27,0.58,43.60,6.67%,90.73,723,0.26
05/1973,107.20,0.27,0.59,43.90,6.85%,114.75,724,0.26
06/1973,104.80,0.27,0.60,44.20,6.90%,123.25,725,0.18
07/1973,105.80,0.27,0.62,44.30,7.13%,115.60,726,0.10
08/1973,103.80,0.27,0.63,45.10,7.40%,103.50,727,0.04
09/1973,105.60,0.27,0.64,45.20,7.09%,100.00,728,0.10
10/1973,109.80,0.28,0.65,45.60,6.79%,98.00,729,0.14
11/1973,102.00,0.28,0.67,45.90,6.73%,101.00,730,0.06
12/1973,94.78,0.28,0.68,46.20,6.74%,112.25,731,-0.06
01/1974,96.11,0.28,0.69,46.60,6.99%,132.50,732,-0.15
02/1974,93.45,0.29,0.69,47.20,6.96%,162.50,733,-0.29
